reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
48a4f0b4-7d22-4019-973e-3b181635eede,Temu Coupon Code- afg631ᒿ7,https://play-lh.googleusercontent.com/a-/ALV-UjVSLgQ3PyyOiofHSdB9RKrvkkO8HIIqjsO6DKedrUc3SglEbyVr,"Enter Coupon in temu profile to get $100. Temu experience is good and wonderful. My only problem is the lag, the occasional slow speed, and the censoring of words that are completely normal, like home, house, though, etc., but overall, it's a good store. Can you also have the mobile version on landscape mode, like in earlier versions of the game? It's a pain when my game goes into landscape mode on the very last second, and the game mechanics that involve typing are messed up when that happens.",4,48,2.63.0,2024-05-05 10:43:36,,,2.63.0
e4d704e8-9b67-4448-a695-a0bacaf7bc36,LeeLee Is Me,https://play-lh.googleusercontent.com/a-/ALV-UjWoEJfYV-tT455Vvi7LX4GVWne7lXEV1xKfM-9inqqXCQDb5lBM3w,They are only cheap in the beginning and if you haven't shopped with them for a while. They tell you you're getting a deal and offer a coupon but they up the price of stuff which means you've not saving money and you have to order again to use the coupon. I don't like being lied to and they lie a lot. Very deceptive app with subpar stuff. Very cheaply made and put together and it looks that way. Most of the materials look like costumes and shipping takes forever.,2,8,2.63.0,2024-05-01 17:26:58,,,2.63.0
0c923248-0056-41ee-a335-10f5a48ed4a7,Temu Coupon- afg631ᒿ7,https://play-lh.googleusercontent.com/a-/ALV-UjUbGv8lqJ4CjX7JlqMUdHCy33BGq7280P_jybQhnXo51cq7CA,"Enter Coupon in temu profile to get $100. Updates will semi-regularly causes issues with app, including the one I installed. I can load the temu, and everything is fine and I can do anything except look at the screen. Beyond recurring bugs, temu app is fine, although often a bit stale and/or simplistic. Game has become, overall, geared towards ""pay-to-play"" and newer players. Events are often times exceedingly easy and things are often behind a pay wall. Can be played completely free, of course.",3,13,2.63.0,2024-05-05 10:57:04,,,2.63.0
f8dfdbdc-b6d2-4984-b37b-a75c9dcc0935,Koren Cloud,https://play-lh.googleusercontent.com/a/ACg8ocIi3060jO5sYhLtftUujAbEDi2Z5PyNjRU4IwhW7f--WTXsgg=mo,"You can get cheap stuff which is great BUT they keep trying to get you to spam your contacts for rewards that you can never get. Like changing the goal posts on the 'farmland'. Daily gift boxes that aren't real prizes, coupons they say are for free stuff but you have to spam contacts and if anyone actually clicks on the link progress gets slower, then when ""free boxes"" it's not really free, you get coupons for future orders. Sooooo disappointed, it was so not like the ad.",2,85,2.63.0,2024-05-03 13:55:14,,,2.63.0
ee01863e-922e-4d3d-b7ca-95159f2d812d,Nixx Pumpkin,https://play-lh.googleusercontent.com/a-/ALV-UjX-6IwXhU_4c4WuyjCa4rm1sPTgrfS3Mqxn6jlZmHRej4TvGmc,"The rating is only because I haven't gotten anything yet. I just wanted to recommend a easier way of looking at items, I look at one thing and basically that one thing just different prices or slightly different designs show up on the WHOLE page. If there was a way you could maybe try a little less on recommending things that would be nice. I don't want to look at the same product in different versions my whole shopping experience so if you could make that easier it would be nice. Thanks!",1,9,2.63.0,2024-04-30 03:01:46,,,2.63.0
920da456-282c-453b-8f5e-bf65c9f552ac,Jenn Luscher,https://play-lh.googleusercontent.com/a-/ALV-UjXwviFDgpi7d-zpm2bZEQOugCjFM0kWmkyUNDmFaSreYTmBj20,"I like saving money. What I don't like is spammy apps. #1, too many pop ups #2, 30+ different offers for discounts and free stuff but useless if everyone you know already has temu, you go through all the stuff to be pennies short every time just to get us to invite, so the offers are a waste of time. Edit: promotions are misleading and don't tell all details. I'm going to miss the promotion I originally wanted because I fell for a ""better"" deal. I can't afford to spend $200 to save any amount.",1,82,2.63.0,2024-05-04 08:37:48,,,2.63.0
450b2d6c-8a1b-4774-ae07-142721a582ae,Danniel Mettlen,https://play-lh.googleusercontent.com/a/ACg8ocL_07m6MEDkQvNBnj-NdDM-9UbXUZZi3nSiELSegts8fPrAKg=mo,"It has a lot of neat things, yes, but there are also a lot of fake deals and discounts, such as, if you get a random 100% off on 3 item, they make you choose 12 items that can add up to 100s of $$. Ya, maybe you get 3 free items, but 100s of $ is still 100s of $. The spam of deals/discounts is almost not worth it, cant even look at anything without getting hit with spam. Not to mention they kinda force you to download the app. And any options in notifications are all coming up blank.",2,1099,2.62.0,2024-04-24 01:29:08,"Hello, thank you for reaching out. Customer satisfaction is of the utmost importance and we are constantly working to improve our service quality. If you have any further questions, please don't hesitate to contact us through Temu.com or the Temu app's live chat. We are here to assist you in finding a resolution. Best wishes, Temu Team",2024-04-26 07:05:01,2.62.0
4c0d184b-0f1c-4429-9e6a-e1083144e18a,Madolin Wolfe,https://play-lh.googleusercontent.com/a-/ALV-UjU8qFU56qYJ903ClmEp2WD_Oc7eGW8oC0lmdxpPdF7STq1nAFY,"The products I had from them so far were great, and the discounts are always exciting to get. My one complaint is simply that I haven't found a function to ""like"" or ""save"" items yet. Edit: I found the save button but you have to scroll a bit first, past all the reviews of the item you're looking at.",5,69,2.63.0,2024-05-04 03:26:34,,,2.63.0
50105251-3b49-4453-b4fa-ef233e27603e,Temu Coupon Code- afg631ᒿ7,https://play-lh.googleusercontent.com/a-/ALV-UjUp1KGsWx-lvtYEJgxmpPbhJZE9A_zTr-2sU56iMiRyrrE_NkGN,"Enter Coupon in temu profile to get $100. Temu is most loved app. Prices and items are surprisingly good. It's great with the many orders that I've placed and the shipping has always been within the estimates for arrival! Amazing! However, Temu got rid of the wishlist. Other shopping apps (Amazon, eBay, etc.) give you the option to save items to a list. In addition, it comes across as being gimmicky with constant annoying promotions and rigged fake spins, so I had to turn off all notifications.",4,945,2.60.0,2024-04-19 12:04:05,,,2.60.0
f084e2f9-ab07-4fa9-aa1a-4ac753c0b706,Jennifer Bleakley,https://play-lh.googleusercontent.com/a-/ALV-UjW7TULYz4eeJhsaF6rfgD_kTCC8yViV5c66fp_FmGygrGM843Ij,"read reviews and look at any photos you can. some things are good buys, but others are just cheaply made. love the free shipping though. I do wish they would let you know if you've ordered something before when you click on it. With all the order incentives, suggestions, and games to win free stuff, it can be difficult to keep track of if you've already ordered or sent something back.",4,267,2.59.0,2024-04-27 17:22:46,,,2.59.0
3c75ffcf-87ee-4b35-a22a-27cb9a83282d,Tammy L,https://play-lh.googleusercontent.com/a-/ALV-UjUq5NCrpNRzgv-Oh9Snn9o31kqBIUVp9HzJFV67Gv5nqsIFHOX9,"I really was skeptical at first like everybody else, but I've had great items. I would definitely recommend the only thing that they need to do is do better packaging. Because everything I shoved into one plastic bag and taped and it kind of rips stuff that you order, otherwise it's great. You gotta try it. I wish more stuff sent to alaska, though",5,46,2.63.0,2024-05-03 21:15:25,,,2.63.0
b45d886d-e7e7-47de-8af9-b71265d548fe,Hugh Perry,https://play-lh.googleusercontent.com/a-/ALV-UjUKAsg6b7tZO8sJ-lxfhcQ3pVHNoCzIdYDLnlSj7DSt8U8D5Kw,"Really a scam, in an indirect way. You're basically buying cheaply made Chinese exports, directly from the factory. Yes, they are cheap in price, but you get what you pay for, so it's cheaply made products that break or wear out very quickly. The promotions are so complicated and have so many rules, that all require additional purchases to qualify for any of them. Their money back is in the form of coupons that only work after you have made 5 more purchases to get back the 10% you were ""awarded.",1,598,2.60.0,2024-04-20 18:56:38,"Hello, thank you for reaching out. Customer satisfaction is of the utmost importance and we are constantly working to improve our service quality. If you have any further questions, please don't hesitate to contact us through Temu.com or the Temu app's live chat. We are here to assist you in finding a resolution. Best wishes, Temu Team",2024-04-23 07:06:09,2.60.0
5ea4eae8-fd0e-4812-a8d0-b4297e88a857,Judy Trobliger,https://play-lh.googleusercontent.com/a/ACg8ocIFGyoKAmhFhAiGCCqTwR0joToWvsA8cBVTdWTrSztv7EdCtw=mo,"I love Temu, probably too much. I can get so much for the school's PTO, gifts, and for myself at a fraction of the price elsewhere. I have not had problems receiving any orders. Quality of items are great, YOU just have to read everything yourself before buying (Size, material, etc.). I feel if you take the time to read, and nit just go buy the images, you get honest products. They have an amazing return policy too in case you change your mind or if something didn't work out. Thanks Temu!",5,13,2.63.0,2024-05-04 13:09:07,,,2.63.0
2aee06b7-49f9-4978-9913-a7cd394740a8,Robbin L. Amy-Park2,https://play-lh.googleusercontent.com/a-/ALV-UjWAX1uYZkJE99SpCh6jMF6I5EokqZPAyAp83lz-DqqzkpKbCNFV,This app has some really great things that are very inexpensive and cool.. I don't like that they don't come with instructions half the time and sometimes items are a lot smaller than pictured. Or when you keep scrolling it repeats itself plus you find stuff at lower prices that's already in your inbox but other than that it's a great app. I love the feature how you can click and unclick certain items but keep them on your wish list so you can change what gets shipped at each time.,4,103,2.59.0,2024-04-22 06:05:47,,,2.59.0
5deb5149-cec6-4a40-aa57-0d9a36a1ce56,Alyssa Carroll,https://play-lh.googleusercontent.com/a/ACg8ocK-G0FdEquReD8feqf4Tn3TwxIFpQYDgGeqUKqxVqX4GmEqhw=mo,"Looked like a good way to save money but is full of fake ""promotions"" that attempt to scam you into buying more and more. Even when you follow prompts, promotion suddenly changes at check out. Game prizes show as ""out of stock"" once you're close to winning - even when the prize is still available for purchase. Customer service goes off a script and is not interested in resolving issues, wants screenshots of every step of the way. So make sure you screen record when using this app.",1,338,2.63.0,2024-04-29 17:27:23,,,2.63.0
94574826-1a54-425f-89d0-00ad7827b0d2,Temu Coupon Code- afg631ᒿ7,https://play-lh.googleusercontent.com/a-/ALV-UjUWGm3oa1UCo_k5FgO35OeOnfwYaqwCRCsMwMfZam5YsP5o0VJ0,"Enter Coupon in temu profile to get $100. Temu app’s great when I'm using the wish option so that I could move or edit the pictures, it turns to black. I hope that this problem will be fixed because it's my most fave thing to use. Also, on the albums when we're going to add pictures, is it possible to add an option so that it could be cropped out based on what size we want it to be? Because it's quite troublesome to crop it in the camera/photos app then we need to open insta again. Thank you!",3,569,2.58.0,2024-04-14 12:21:48,,,2.58.0
b777e15c-2005-4ad9-857e-c3d6a5ad829a,Clyde Ash,https://play-lh.googleusercontent.com/a-/ALV-UjVc7S8szwnDKXhrnZjVgi8frk-reSmcsv9LMc1sFNgJIVRJ2FI,they bombard you with constant adds for everything trying to get you to buy something and if you do your supposed to get like bonuses but all the hoops you have to jump thru to get them are never ending. it's always ( just 3 more steps) and you will get rewarded . well it's been a month and I'm still trying to get my free 100 %back items. they make you stay on doing stupid stuff forever. just give me my free items already for christ sake,5,2,2.63.0,2024-05-05 02:13:23,,,2.63.0
7a552a66-8060-4d3a-aef8-9583b13fe2dc,Samantha Wilkins,https://play-lh.googleusercontent.com/a-/ALV-UjW-3mli4C47Una5ZiPLe_usBCXDlevGOX2wKvNCQTxLazKYk3I,I've a lot of things from this app and they give a lot of deals. BUT to get the deal you need to spend more and more money. Like they well give you $90.00 credit but only after you spend $180.00. You only get 20 minutes to decide what your buying. Then you can only use the credit on some cheap looking things. I've heard you get what you pay for but I just spent $180.00 why is my free stuff so cheap looking. It's not cheap because they need you to spend that $80.00 on it. Buyers beware.,1,5,2.61.0,2024-05-03 19:13:27,,,2.61.0
b6ed1290-e27d-4c0c-8900-8a30a3934681,M H,https://play-lh.googleusercontent.com/a/ACg8ocLiPtrEOangT7xorWb8HxWXqkMqRveNzvetVOdDy0-b1GIIAe4=mo,"Some items are priced to buy but when you receive them some not as described but over all a great app. Make sure to read the clothing description as sizes change a little but clothing not bad. As for the games to win free items I give 0 stars as it gets harder and harder to win anything! As for the free items, the closer you get to getting them the harder they make the game and give very little as points to get the free items. Making it impossible to get anything free!",3,372,2.60.0,2024-04-19 17:47:29,,,2.60.0
89f4ba00-3fe3-43c8-8b18-d3581717bcb6,Temu Coupon Code- afg631ᒿ7,https://play-lh.googleusercontent.com/a-/ALV-UjU9oo-L1gUD44tQK3LUe9TrtJ6hpDftYs9tdK0ZMJp7D9r6i80Z,"Enter Coupon in temu profile to get $100. I shop with temu, When I can. When I first downloaded upside so I could fuel my car it worked fine and I used constantly. But now every single time without fail the moment I start the match and jump from the plane the app close. Completely closes itself out. I reopen and try to join the match just for it to crash again. I haven't been able to play a single round since this started. It's really disappointing. I will change this review if it gets patched.",3,254,2.62.1,2024-04-25 12:31:14,,,2.62.1
